train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/std,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,train/n_updates,time/iterations
-0.04552790497255046,0.06966904,38.94066619873047,0.787436306476593,604,0.11282285302877426,1000.0,64.36836920678616,711,430080,0.2,2e-05,4.58200428634882,0.487060546875,2128.8921982700003,4180,210
-0.04199103405553615,0.070310384,43.332462310791016,0.8508052825927734,625,0.11220323294401169,1000.0,77.47177191376686,719,450560,0.2,2e-05,4.614296912401914,0.490966796875,2172.51719422,4380,220
-0.03883304867267725,0.062801376,33.19295120239258,0.8085566759109497,659,0.11128870397806168,1000.0,55.34720121324062,713,471040,0.2,2e-05,4.661476017534733,0.5128173828125,2227.90033124,4580,230
-0.0454512251460983,0.05458522,32.01042175292969,0.8923766016960144,697,0.11062131077051163,1000.0,78.65618372559547,704,491520,0.2,2e-05,4.697261972725391,0.47724609375,2274.17042488,4780,240
-0.041237863354035655,0.06874087,35.193885803222656,0.7930850982666016,721,0.11025508493185043,1000.0,70.54104205667973,709,512000,0.2,2e-05,4.721433316916228,0.5125732421875,2330.69926422,4980,250
-0.036248526578128805,0.07383737,26.58891487121582,0.8090888261795044,743,0.10948744416236877,1000.0,44.02810416221619,716,532480,0.2,2e-05,4.76421686410904,0.537548828125,2408.1427971099997,5180,260
-0.04121085340593709,0.0557381,26.7304630279541,0.8593682050704956,763,0.10887836664915085,1000.0,75.2378349095583,723,552960,0.2,2e-05,4.796704748272896,0.48505859375,2452.3530872899996,5380,270
-0.0462345973464835,0.06524265,33.17545700073242,0.8143311142921448,786,0.10828118771314621,1000.0,60.86470263898373,728,573440,0.2,2e-05,4.830517213791609,0.50859375,2509.55863433,5580,280
-0.04533257391922234,0.068225235,29.471921920776367,0.8326168060302734,813,0.1080857440829277,1000.0,72.68880473673343,729,593920,0.2,2e-05,4.841347002238035,0.493310546875,2563.68596353,5780,290
-0.04876273479167139,0.07462709,22.007173538208008,0.8189424276351929,840,0.10758369415998459,1000.0,50.977732464671135,730,614400,0.2,2e-05,4.868311208486557,0.515380859375,2622.83305283,5980,300
-0.04678872099975706,0.061911736,49.08040237426758,0.8462207317352295,862,0.10688915848731995,1000.0,66.94091021716595,735,634880,0.2,2e-05,4.911988537758589,0.4891845703125,2659.18772816,6180,310
